Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,ET,P,Country 1,Country 2
?,Round1,1,(Mon) 17 Aug 1964 (W33),KR Reykjavik (1),0-5,0-1,Liverpool FC (1),,,ISL,ENG
?,Round1,1,(Wed) 2 Sep 1964 (W35),Rangers FC (1),3-1,1-0,Crvena Zvezda (1),,,SCO,SRB
?,Round1,1,(Wed) 2 Sep 1964 (W35),BSG Chemie Leipzig (1),0-2,0-0,Gyori ETO (1),,,GER,HUN
?,Round1,1,(Sun) 6 Sep 1964 (W35),Dukla Praha (1),4-1,1-1,Gornik Zabrze (1),,,CZE,POL
?,Round1,1,(Wed) 9 Sep 1964 (W36),RSC Anderlecht (1),1-0,0-0,Bologna FC (1),,,BEL,ITA
?,Round1,2,(Wed) 9 Sep 1964 (W36),Crvena Zvezda (2),4-2,1-1,Rangers FC (2),,,SRB,SCO
?,Round1,1,(Wed) 9 Sep 1964 (W36),AS Saint-Etienne (1),2-2,1-2,FC La Chaux-de-Fonds (1),,,FRA,SUI
?,Round1,2,(Wed) 9 Sep 1964 (W36),Gyori ETO (2),4-2,2-0,BSG Chemie Leipzig (2),,,HUN,GER
?,Round1,1,(Wed) 9 Sep 1964 (W36),FC Reipas Lahti (1),2-1,1-1,Lyn Oslo (1),,,FIN,NOR
?,Round1,1,(Wed) 9 Sep 1964 (W36),FK Partizani Tirana (1),0-0,0-0,Koln (1),,,ALB,GER
?,Round1,1,(Thu) 10 Sep 1964 (W36),Lokomotiv Sofia (1),8-3,5-1,Malmo FF (1),,,BUL,SWE
?,Round1,1,(Sun) 13 Sep 1964 (W36),Sliema Wanderers (1),0-2,0-2,Dinamo Bucuresti (1),,,MLT,ROU
?,Round1,2,(Mon) 14 Sep 1964 (W37),Liverpool FC (2),6-1,2-1,KR Reykjavik (2),,,ENG,ISL
?,Round1,1,(Wed) 16 Sep 1964 (W37),Aris Bonnevoie (1),1-5,0-4,SL Benfica (1),,,LUX,POR
?,Round1,2,(Wed) 16 Sep 1964 (W37),FC La Chaux-de-Fonds (2),2-1,0-1,AS Saint-Etienne (2),,,SUI,FRA
?,Round1,1,(Wed) 16 Sep 1964 (W37),DWS Amsterdam (1),3-1,1-0,Fenerbahçe İstanbul SK (1),,,NED,TUR
?,Round1,1,(Wed) 16 Sep 1964 (W37),Glentoran (1),2-2,1-2,Panathinaikos FC (1),,,NIR,GRE
?,Round1,1,(Wed) 16 Sep 1964 (W37),Rapid Wien (1),3-0,1-0,Shamrock Rovers (1),,,AUT,IRL
?,Round1,2,(Sat) 19 Sep 1964 (W37),Dinamo Bucuresti (2),5-0,2-0,Sliema Wanderers (2),,,ROU,MLT
?,Round1,2,(Sun) 20 Sep 1964 (W37),Gornik Zabrze (2),3-0,1-0,Dukla Praha (2),,,POL,CZE
?,Round1,1,(Wed) 23 Sep 1964 (W38),B 1909 Odense (1),2-5,1-3,Real Madrid CF (1),,,DEN,ESP
?,Round1,2,(Wed) 23 Sep 1964 (W38),Koln (2),2-0,0-0,FK Partizani Tirana (2),,,GER,ALB
?,Round1,2,(Wed) 30 Sep 1964 (W39),SL Benfica (2),5-1,1-0,Aris Bonnevoie (2),,,POR,LUX
?,Round1,2,(Wed) 30 Sep 1964 (W39),Panathinaikos FC (2),3-2,1-1,Glentoran (2),,,GRE,NIR
?,Round1,2,(Wed) 30 Sep 1964 (W39),Malmo FF (2),2-0,2-0,Lokomotiv Sofia (2),,,SWE,BUL
?,Round1,2,(Wed) 30 Sep 1964 (W39),Shamrock Rovers (2),0-2,0-0,Rapid Wien (2),,,IRL,AUT
?,Round1,2,(Wed) 7 Oct 1964 (W40),Bologna FC (2),2-1,0-0,RSC Anderlecht (2),,,ITA,BEL
?,Round1,2,(Wed) 7 Oct 1964 (W40),Fenerbahçe İstanbul SK (2),0-1,0-0,DWS Amsterdam (2),,,TUR,NED
?,Round1,2,(Wed) 7 Oct 1964 (W40),Lyn Oslo (2),3-0,1-0,FC Reipas Lahti (2),,,NOR,FIN
?,Round1,replay,(Wed) 14 Oct 1964 (W41),RSC Anderlecht (3),0-0,0-0,Bologna FC (3),0-0 (a.e.t.),,BEL,ITA
?,Round1,replay,(Wed) 14 Oct 1964 (W41),Dukla Praha (3),0-0,0-0,Gornik Zabrze (3),0-0 (a.e.t.),,CZE,POL
?,Round1,2,(Wed) 14 Oct 1964 (W41),Real Madrid CF (2),4-0,2-0,B 1909 Odense (2),,,ESP,DEN
?,Round1,replay,(Wed) 4 Nov 1964 (W44),Rangers FC (3),3-1,2-0,Crvena Zvezda (3),,,SCO,SRB
?,R16,1,(Wed) 4 Nov 1964 (W44),DWS Amsterdam (3),5-0,2-0,Lyn Oslo (3),,,NED,NOR
?,R16,1,(Wed) 4 Nov 1964 (W44),FC La Chaux-de-Fonds (3),1-1,1-1,SL Benfica (3),,,SUI,POR
?,R16,1,(Wed) 11 Nov 1964 (W45),Internazionale (1),6-0,4-0,Dinamo Bucuresti (3),,,ITA,ROU
?,R16,1,(Wed) 11 Nov 1964 (W45),Panathinaikos FC (3),1-1,0-1,Koln (3),,,GRE,GER
?,R16,1,(Wed) 18 Nov 1964 (W46),Real Madrid CF (3),4-0,2-0,Dukla Praha (4),,,ESP,CZE
?,R16,2,(Wed) 18 Nov 1964 (W46),Lyn Oslo (4),1-3,0-0,DWS Amsterdam (4),,,NOR,NED
?,R16,1,(Wed) 18 Nov 1964 (W46),Gyori ETO (3),5-3,1-1,Lokomotiv Sofia (3),,,HUN,BUL
?,R16,1,(Wed) 18 Nov 1964 (W46),Rangers FC (4),1-0,0-0,Rapid Wien (3),,,SCO,AUT
?,R16,2,(Wed) 25 Nov 1964 (W47),Koln (4),2-1,1-1,Panathinaikos FC (4),,,GER,GRE
?,R16,1,(Wed) 25 Nov 1964 (W47),Liverpool FC (3),3-0,1-0,RSC Anderlecht (4),,,ENG,BEL
